terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
21826,RECORDED,75004028,AGL,,,21826,,AGL,,,,1A2,,GE75,,1,1.026,8,S,48,0,-8.8,-0.1535889741754984,13,E,49,0,13.816666666666666,0.2411463249838791,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.016,1.036,21826,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,67.0,0.0,2400.0
21826,RECORDED,75004028,AGL,,,21826,,AGL,,,,1A2,,GE75,,1,1.026,8,S,48,0,-8.8,-0.1535889741754984,13,E,49,0,13.816666666666666,0.2411463249838791,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.016,1.036,21826,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,67.0,0.0,2400.0
23425,RECORDED,75005637,AGL,,,23425,,AGL,,,,1A2,,GE75,,1,1.233,8,S,50,0,-8.833333333333334,-0.1541707505928298,13,E,20,0,13.333333333333334,0.2327105669325733,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.223,1.243,23425,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
23425,RECORDED,75005637,AGL,,,23425,,AGL,,,,1A2,,GE75,,1,1.233,8,S,50,0,-8.833333333333334,-0.1541707505928298,13,E,20,0,13.333333333333334,0.2327105669325733,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.223,1.243,23425,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
25356,RECORDED,75007595,AGL,,,25356,,AGL,,,,1A2,,GE75,,1,1.485,8,S,48,0,-8.8,-0.1535889741754984,13,E,14,0,13.233333333333333,0.230965237680579,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25356,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,0.0,2400.0
25356,RECORDED,75007595,AGL,,,25356,,AGL,,,,1A2,,GE75,,1,1.485,8,S,48,0,-8.8,-0.1535889741754984,13,E,14,0,13.233333333333333,0.230965237680579,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25356,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,0.0,2400.0
27683,RECORDED,75009934,AGL,,,27683,,AGL,,,,1A2,,GE75,,1,1.593,8,S,48,0,-8.8,-0.1535889741754984,13,E,14,0,13.233333333333333,0.230965237680579,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.588,1.598,27683,HJ,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,500.0,2400.0
27683,RECORDED,75009934,AGL,,,27683,,AGL,,,,1A2,,GE75,,1,1.593,8,S,48,0,-8.8,-0.1535889741754984,13,E,14,0,13.233333333333333,0.230965237680579,LUANDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.588,1.598,27683,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,500.0,2400.0
22050,RECORDED,75004252,AGL,,,22050,,AGL,,,,1A2,,GE75,,1,1.044,14,S,55,0,-14.916666666666666,-0.2603449467558164,13,E,30,0,13.5,0.2356194490192305,LUBANGO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.034,1.054,22050,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,75.0,0.0,2400.0
22050,RECORDED,75004252,AGL,,,22050,,AGL,,,,1A2,,GE75,,1,1.044,14,S,55,0,-14.916666666666666,-0.2603449467558164,13,E,30,0,13.5,0.2356194490192305,LUBANGO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.034,1.054,22050,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,75.0,0.0,2400.0
24023,RECORDED,75006237,AGL,,,24023,,AGL,,,,1A2,,GE75,,1,1.314,14,S,55,0,-14.916666666666666,-0.2603449467558164,13,E,30,0,13.5,0.2356194490192305,LUBANGO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.304,1.324,24023,HJ,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,,0.4,,,60.0,0.0,2400.0
24023,RECORDED,75006237,AGL,,,24023,,AGL,,,,1A2,,GE75,,1,1.314,14,S,55,0,-14.916666666666666,-0.2603449467558164,13,E,30,0,13.5,0.2356194490192305,LUBANGO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.304,1.324,24023,HN,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,,0.4,,,60.0,0.0,2400.0
