site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
DOUALA,2343297,4.01666666666666,9.71666666666666,,34800.0,20.865
DOUALA,2343298,4.01666666666666,9.71666666666666,,34800.0,20.865
DOUALA,2343299,4.01666666666666,9.71666666666666,,34800.0,20.885
DOUALA,2343300,4.01666666666666,9.71666666666666,,34800.0,20.885
DOUALA,2343301,4.01666666666666,9.71666666666666,,34800.0,20.885
DOUALA,2343308,4.01666666666666,9.71666666666666,,29000.0,24.035
DOUALA,2343309,4.01666666666666,9.71666666666666,,29000.0,24.045
DOUALA,2343310,4.01666666666666,9.71666666666666,,29000.0,24.055
DOUALA,2343311,4.01666666666666,9.71666666666666,,29000.0,24.06
DOUALA,2343312,4.01666666666666,9.71666666666666,,29000.0,24.065
DOUALA,2343314,4.01666666666666,9.71666666666666,,29000.0,24.16
DOUALA,2343315,4.01666666666666,9.71666666666666,,29000.0,24.17
DOUALA,2343317,4.01666666666666,9.71666666666666,,34800.0,26.63
DOUALA,2343318,4.01666666666666,9.71666666666666,,34800.0,26.63
DOUALA,2343319,4.01666666666666,9.71666666666666,,34800.0,26.635
DOUALA,2343320,4.01666666666666,9.71666666666666,,34800.0,26.635
DOUALA,2343321,4.01666666666666,9.71666666666666,,34800.0,26.64
DOUALA,2343322,4.01666666666666,9.71666666666666,,34800.0,26.64
DOUALA,2343323,4.01666666666666,9.71666666666666,,34800.0,26.645
DOUALA,2343324,4.01666666666666,9.71666666666666,,34800.0,26.645
DOUALA,2343325,4.01666666666666,9.71666666666666,,34800.0,26.65
DOUALA,2343326,4.01666666666666,9.71666666666666,,34800.0,26.65
DOUALA,2343327,4.01666666666666,9.71666666666666,,34800.0,26.81
DOUALA,2343328,4.01666666666666,9.71666666666666,,34800.0,26.81
DOUALA,2343329,4.01666666666666,9.71666666666666,,34800.0,26.82
DOUALA,2343330,4.01666666666666,9.71666666666666,,34800.0,26.82
DOUALA,2343331,4.01666666666666,9.71666666666666,,34800.0,26.83
DOUALA,2343332,4.01666666666666,9.71666666666666,,34800.0,26.83
DOUALA,2343333,4.01666666666666,9.71666666666666,,34800.0,26.85
DOUALA,2343334,4.01666666666666,9.71666666666666,,34800.0,26.85
