terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
92534376,RECORDED,MAJOR,GE84,120238559,BUJ97.3-2020,,T01,BDI,BDI,92534376,,,,,,2022-01-28 00:00:00,,,1,97.3,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,58,25.0,316.2277660168379,,,25.0,0.3162277660168379,,,v,ND,0.0,,BUJUMBURA,29,E,21,28.0,3,S,23,18.0,29.35777777777778,-3.388333333333333,0.5123898832910377,-0.0591375728217401,790.0,67.83306884765625,67.83306884765625,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 09:33:55,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,97.15,97.45,1
92534307,RECORDED,MAJOR,GE84,115030668,2015-19,,T01,BDI,BDI,92534307,,,,,,2022-01-28 00:00:00,,,1,97.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,93.77926635742188,93.77926635742188,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 10:07:52,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,97.75,98.05,1
92169858,RECORDED,NOT MODIFY,NTFD_RR,120047022,2015-19,2015-19,TB2,BDI,BDI,92169858,,A,6.0,,2005-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,97.9,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.0,100.0,20.0,0.1,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,97.81,97.99,0
92534309,RECORDED,MAJOR,GE84,115030670,2015-20,,T01,BDI,BDI,92534309,,,,,,2022-01-28 00:00:00,,,1,98.4,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,81.56929779052734,81.56929779052734,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 10:36:50,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,98.25,98.55,1
92169861,RECORDED,NOT MODIFY,NTFD_RR,120047025,2015-20,2015-20,TB2,BDI,BDI,92169861,,A,6.0,,2005-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,98.4,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.0,100.0,20.0,0.1,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,98.31,98.49,0
92534282,RECORDED,MAJOR,GE84,84108070,BUJ-99.4-2021,,T01,BDI,BDI,92534282,,,,,,2022-01-28 00:00:00,,,1,99.4,,,,NORMAL,,,,,,BC,4,,F8EHF,300,30.0,46,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,89.28248596191406,89.28248596191406,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 11:35:19,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,99.25,99.55,1
92169863,RECORDED,NOT MODIFY,NTFD_RR,120047027,,,TB2,BDI,BDI,92169863,,A,6.0,,1995-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,99.4,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.9,123.02687708123811,20.9,0.1230268770812381,,,,,h,ND,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,99.31,99.49,1
92534310,RECORDED,MAJOR,GE84,115030671,2015-21,,T01,BDI,BDI,92534310,,,,,,2022-01-28 00:00:00,,,1,101.4,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,92.5626220703125,92.5626220703125,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 13:39:46,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,101.25,101.55,1
92534311,RECORDED,MAJOR,GE84,115030672,2015-22,,T01,BDI,BDI,92534311,,,,,,2022-01-28 00:00:00,,,1,102.1,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,86.73681640625,86.73681640625,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 14:27:40,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,101.95,102.25,1
92169865,RECORDED,NOT MODIFY,NTFD_RR,120047029,2015-22,2015-22,TB2,BDI,BDI,92169865,,A,6.0,,2015-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,102.1,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.0,100.0,20.0,0.1,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,102.01,102.19,0
